,Year_of_award,Nominees,Laureate,Birth_year,Death_year,Affiliation,Rationale,Country_of_birth,Officialstatename,InternetccTLD,iso2,iso3
76,1963,"Werner Kuhn , Fritz London , Christopher Kelk Ingold , Walter Heitler , Henry Eyring , Robert Burns Woodward , Alexander Frumkin , Hans Meerwein , Dorothy Mary Crowfoot Hodgkin , Robert S. Mulliken , Choh Hao Li , Burris Bell Cunningham , Max Perutz , Izaak Maurits Kolthoff , Karl Ziegler , Giulio Natta , Fritz Feigl , Martin Kamen , Heinz Fraenkel-Conrat , Jannik Bjerrum , Carl Wagner , Luis Federico Leloir , Gerhard Herzberg , Georg Wittig , Gerold Schwarzenbach , John Kendrew , Feodor Lynen , Derek Barton , Odd Hassel , Gerhard Schramm , Manfred Eigen , Konrad Emil Bloch , Georges Chaudron , Louis Plack Hammett , Herbert Charles Brown , Har Gobind Khorana , Wilhelm Ludwig August Geilmann , Dionýz Ilkovič , Noel Bryan Slater , Gunnar Blix , Ernst Klenk , Stanley Bruckenstein[531] , James Baddiley , Fritz Arndt , John Monteath Robertson , Edgar Bright Wilson Jr. , Alberte Bucher Pullman , Bernard Pullman , Saul Winstein , Alfred Valentin Champagnat , Neil Bartlett",Giulio Natta,1903,1979,Polytechnic University of Milan,"""for their discoveries in the field of the chemistry and technology of high polymers""",Italy,,,,
77,1964,"Werner Kuhn , Christopher Kelk Ingold , Walter Heitler , Henry Eyring , Robert Burns Woodward , Alexander Frumkin , Hans Meerwein , Dorothy Mary Crowfoot Hodgkin , Robert S. Mulliken , Paul Flory , Burris Bell Cunningham , George Porter , Lars Onsager , Max Volmer , Martin Kamen , Jannik Bjerrum , Carl Wagner , Luis Federico Leloir , Vladimir Prelog , Georg Wittig , Gerold Schwarzenbach , Feodor Lynen , Derek Barton , Gerhard Schramm , Manfred Eigen , Ronald George Wreyford Norrish , Konrad Emil Bloch , Bo Lars Gunnar Sillén , Georges Chaudron , Johannes Martin Bijvoet , Louis Néel , Alexander Pavlovich Vinogradov , Sanʼichirō Mizushima , Louis Plack Hammett , Carl Djerassi , Herbert Charles Brown , Fritz Arndt , Neil Bartlett , Charles Coulson , Edmund Hirst , Gopalasamudram Narayana Ramachandran , Émile-Florent Terroine , Paul Zamecnik , Kazuo Yamafuji (山藤 一雄 ヤマフジ カズオ) , Arthur Holmes , John Gunnar Malm , Howard H. Claassen , Henry H. Selig , Alexander Oparin , Georg-Maria Schwab , Bernd Theodor Matthias , František Šorm , Efraim Katchalski-Katzir",Dorothy Crowfoot Hodgkin,1910,1994,University of Oxford,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
78,1965,"Christopher Kelk Ingold , Henry Eyring , Robert Burns Woodward , Alexander Frumkin , Hans Meerwein , Robert S. Mulliken , Paul Flory , Burris Bell Cunningham , Marguerite Perey , Lyman Craig , Walter Hieber , George Porter , Lars Onsager , Max Volmer , John Clarke Slater , Jannik Bjerrum , Karl Freudenberg , Erich Hückel , Luis Federico Leloir , Gerhard Herzberg , Vladimir Prelog , Georg Wittig , Gerold Schwarzenbach , Herman Francis Mark , Feodor Lynen , Egon Wiberg , William Gardner Pfann , Derek Barton , Odd Hassel , Gerhard Schramm , Manfred Eigen , Ronald George Wreyford Norrish , Bo Lars Gunnar Sillén , Georges Chaudron , Daniel Israel Arnon , Harry George Drickamer , Alexander Pavlovich Vinogradov , Louis Plack Hammett , Carl Djerassi , Har Gobind Khorana , Fritz Arndt , Alberte Bucher Pullman , Bernard Pullman , Neil Bartlett , Arthur Holmes , John Gunnar Malm , Howard H. Claassen , Henry H. Selig , John Warcup Cornforth Jr. , Jacques Monod , J Jacob , Paul Doughty Bartlett , G. I. Arnon (prob. Daniel I. Arnon) , Salomon Cohen (prob. Seymour S. Cohen) , Oganes K. Davtyan , Ulick Richardson Evans , Stanley George Mason , Geoffrey Ingram Taylor , Henrik Gunnar Lundegårdh , Leonard (Len) E. Mortenson , Raymond Carlyle Valentine , James Elliot Carnahan , André Guinier , Ivan Stranski , Jean Roche , Erwin Chargaff , Otto Kratky , Alan Walsh , Charles Prévost , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Rudolf Hoppe , Albert Eschenmoser , Marshall Warren Nirenberg",Robert Burns Woodward,1917,1979,Harvard University,"""for his outstanding achievements in the art of organic synthesis""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
79,1966,"Christopher Kelk Ingold , Alexander Frumkin , Walter Reppe , William Cumming Rose , Robert S. Mulliken , Burris Bell Cunningham , Marguerite Perey , Walter Hieber , George Porter , Lars Onsager , Fritz Feigl , John Clarke Slater , Karl Freudenberg , Erich Hückel , Carl Wagner , Luis Federico Leloir , Gerhard Herzberg , Vladimir Prelog , Georg Wittig , Jean Brachet , William Gardner Pfann , Walter Hans Schottky , Derek Barton , Odd Hassel , Ilya Prigogine , John G. Aston , Gerhard Schramm , Manfred Eigen , Ronald George Wreyford Norrish , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Carl Djerassi , Herbert Charles Brown , Har Gobind Khorana , Fritz Arndt , Saul Winstein , Alfred Valentin Champagnat , Neil Bartlett , John Gunnar Malm , Howard H. Claassen , Henry H. Selig , Bernd Theodor Matthias , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Jean Roche , Alan Walsh , Charles Prévost , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Albert Eschenmoser , Marshall Warren Nirenberg , Robert William Holley , Stanford Moore , William Howard Stein , Richard Barrer , Bernard Halpern , Kurt Bruno Hannig [601] , James Franklin Hyde , Arthur Lüttringhaus , Edwin Theodore Mertz , Laurens Lambertus Marie van Deenen , G. Horrëus de Haas[608] , Charles Louis Marie Claude Vernet , Bernard Maurice Lainé , Jean Antoine Filosa , Sol Spiegelman , Thiruvengadam Rajendram Seshadri , Kenneth Pitzer , Robert Schwyzer",Robert S. Mulliken,1896,1986,University of Chicago,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
80,1967,"Christopher Kelk Ingold , Alexander Frumkin , Choh Hao Li , Burris Bell Cunningham , Erich Müller (probably Erwin Wilhelm Müller) , Alexander Braunstein , George Porter , Lars Onsager , Fritz Feigl , Aleksandr Arbuzov , Jannik Bjerrum , Karl Freudenberg , Erich Hückel , Luis Federico Leloir , Vladimir Prelog , Georg Wittig , Herman Francis Mark , Michael Polanyi , Derek Barton , Odd Hassel , Gerhard Schramm , Manfred Eigen , Ronald George Wreyford Norrish , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Ernst Otto Fischer , Sanʼichirō Mizushima , Louis Plack Hammett , Herbert Charles Brown , Har Gobind Khorana , Fritz Arndt , Saul Winstein , Neil Bartlett , František Šorm , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Ivan Stranski , Jean Roche , Erwin Chargaff , Otto Kratky , Alan Walsh , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Rudolf Hoppe , Marshall Warren Nirenberg , Robert William Holley , Kenneth Pitzer , Geoffrey Wilkinson , Robert Bruce Merrifield , George Wald , Manuel Ballester Boix , Jean Lecomte , Max Rudolf ""Rudi"" Lemberg , James Joseph Lingane[623] , Richard Alan Morton[625] , Giorgio Piccardi , Hans Eduard Schmid , Frank Harold Spedding , Ahmed Riad (Reyad) Tourky[630] , Ellison Hall Taylor[632] , Sheldon Datz , Mary Belle Allen , Frederick Robert Whatley , Stephen Brunauer , Paul Hugh Emmett , Edward Teller , Esmond Emerson Snell , Frank Albert Cotton",Manfred Eigen,1927,2019,Max Planck Institute for Biophysical Chemistry,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
81,1967,"Christopher Kelk Ingold , Alexander Frumkin , Choh Hao Li , Burris Bell Cunningham , Erich Müller (probably Erwin Wilhelm Müller) , Alexander Braunstein , George Porter , Lars Onsager , Fritz Feigl , Aleksandr Arbuzov , Jannik Bjerrum , Karl Freudenberg , Erich Hückel , Luis Federico Leloir , Vladimir Prelog , Georg Wittig , Herman Francis Mark , Michael Polanyi , Derek Barton , Odd Hassel , Gerhard Schramm , Manfred Eigen , Ronald George Wreyford Norrish , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Ernst Otto Fischer , Sanʼichirō Mizushima , Louis Plack Hammett , Herbert Charles Brown , Har Gobind Khorana , Fritz Arndt , Saul Winstein , Neil Bartlett , František Šorm , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Ivan Stranski , Jean Roche , Erwin Chargaff , Otto Kratky , Alan Walsh , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Rudolf Hoppe , Marshall Warren Nirenberg , Robert William Holley , Kenneth Pitzer , Geoffrey Wilkinson , Robert Bruce Merrifield , George Wald , Manuel Ballester Boix , Jean Lecomte , Max Rudolf ""Rudi"" Lemberg , James Joseph Lingane[623] , Richard Alan Morton[625] , Giorgio Piccardi , Hans Eduard Schmid , Frank Harold Spedding , Ahmed Riad (Reyad) Tourky[630] , Ellison Hall Taylor[632] , Sheldon Datz , Mary Belle Allen , Frederick Robert Whatley , Stephen Brunauer , Paul Hugh Emmett , Edward Teller , Esmond Emerson Snell , Frank Albert Cotton",Ronald George Wreyford Norrish,1897,1978,University of Cambridge,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
82,1967,"Christopher Kelk Ingold , Alexander Frumkin , Choh Hao Li , Burris Bell Cunningham , Erich Müller (probably Erwin Wilhelm Müller) , Alexander Braunstein , George Porter , Lars Onsager , Fritz Feigl , Aleksandr Arbuzov , Jannik Bjerrum , Karl Freudenberg , Erich Hückel , Luis Federico Leloir , Vladimir Prelog , Georg Wittig , Herman Francis Mark , Michael Polanyi , Derek Barton , Odd Hassel , Gerhard Schramm , Manfred Eigen , Ronald George Wreyford Norrish , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Ernst Otto Fischer , Sanʼichirō Mizushima , Louis Plack Hammett , Herbert Charles Brown , Har Gobind Khorana , Fritz Arndt , Saul Winstein , Neil Bartlett , František Šorm , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Ivan Stranski , Jean Roche , Erwin Chargaff , Otto Kratky , Alan Walsh , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Rudolf Hoppe , Marshall Warren Nirenberg , Robert William Holley , Kenneth Pitzer , Geoffrey Wilkinson , Robert Bruce Merrifield , George Wald , Manuel Ballester Boix , Jean Lecomte , Max Rudolf ""Rudi"" Lemberg , James Joseph Lingane[623] , Richard Alan Morton[625] , Giorgio Piccardi , Hans Eduard Schmid , Frank Harold Spedding , Ahmed Riad (Reyad) Tourky[630] , Ellison Hall Taylor[632] , Sheldon Datz , Mary Belle Allen , Frederick Robert Whatley , Stephen Brunauer , Paul Hugh Emmett , Edward Teller , Esmond Emerson Snell , Frank Albert Cotton",George Porter,1920,2002,,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
83,1968,"Christopher Kelk Ingold , Henry Eyring , William von Eggers Doering , Alexander Frumkin , Michael Heidelberger , Paul Flory , Burris Bell Cunningham , Walter Hieber , Lars Onsager , John Clarke Slater , Martin Kamen , Aleksandr Arbuzov , Karl Freudenberg , Erich Hückel , Carl Wagner , Luis Federico Leloir , Vladimir Prelog , Georg Wittig , Gerold Schwarzenbach , Herman Francis Mark , William Gardner Pfann , Derek Barton , Odd Hassel , Gerhard Schramm , Georges Chaudron , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Ernst Otto Fischer , Sanʼichirō Mizushima , Louis Plack Hammett , Carl Djerassi , Herbert Charles Brown , Har Gobind Khorana , James Baddiley , Fritz Arndt , Alberte Bucher Pullman , Bernard Pullman , Saul Winstein , Neil Bartlett , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Otto Kratky , Alan Walsh , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Albert Eschenmoser , Marshall Warren Nirenberg , Robert William Holley , Thiruvengadam Rajendram Seshadri , Kenneth Pitzer , Geoffrey Wilkinson , Robert Bruce Merrifield , Donald James Cram , George Andrew Olah , Erika Cremer , Kenneth George Denbigh , Joseph Oakland Hirschfelder , Eugene Patrick Kennedy , Boris Kozyrev [ru] , Alfred O. C. Nier , Eiji Ochiai[651] , Eugene George Rochow , Einar August Stenhagen , Hans Tuppy , Anthony Leonid Turkevich , David Warren Turner , Otto Hermann Eduard Westphal , Aharon Katzir-Katchalsky , Brian Edward Cross[660] , Yusuke Sumiki[665] , Teijirō Yabuta , Bernard Lewis , Yakov Borisovich Zeldovich , Léon Velluz[668] , Maurice Legrand , Marc Grosjean , Arie Jan Haagen-Smit , Henri Normant[674] , Klaus Biemann , Ivo Zvara , Georgy Nikolayevich Flerov",Lars Onsager,1903,1976,Yale University,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
84,1969,"Christopher Kelk Ingold , Walter Heitler , Henry Eyring , Alexander Frumkin , Arvid Hedvall , Paul Flory , Burris Bell Cunningham , Rudolph Peters , Lyman Craig , Erich Müller (probably Erwin Wilhelm Müller) , Alexander Braunstein , Walter Hieber , John Clarke Slater , Martin Kamen , Karl Freudenberg , Friedrich Hund , Erich Hückel , Carl Wagner , Luis Federico Leloir , Gerhard Herzberg , Vladimir Prelog , Georg Wittig , Herman Francis Mark , Walter Hans Schottky , Derek Barton , Odd Hassel , Alfred Hershey , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Ernst Otto Fischer , Louis Plack Hammett , Carl Djerassi , Herbert Charles Brown , Fritz Arndt , John Monteath Robertson , Edgar Bright Wilson Jr. , Alberte Bucher Pullman , Bernard Pullman , Saul Winstein , Neil Bartlett , Alexander Oparin , Georg-Maria Schwab , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Otto Kratky , Alan Walsh , Charles Prévost , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Albert Eschenmoser , Kenneth Pitzer , Robert Schwyzer , Geoffrey Wilkinson , Robert Bruce Merrifield , Esmond Emerson Snell , Donald James Cram , George Andrew Olah , Henri Normant[674] , Klaus Biemann , Georgy Nikolayevich Flerov , Konstantin Antonovich Petrzhak (Pietrzak) , Kai Manne Börje Siegbahn , Horace Albert ""Nook"" Barker , Francis Pettit Bundy , Raymond Jean Calas[683] , Harry Julius Emeléus , Theodor Förster , Rolf Huisgen , Charles Lambert Marie Joseph Manneback , David Nachmansohn , Roberto Piontelli[690] , Eugene Rabinowitch , Petr Aleksandrovich Rebinder , Horst Tobias Witt , Melville Lawrence Wolfrom , Helmut Zahn , László Zechmeister , Jacques Bénard , Adolphe (Emile Philippe) Van Tiggelen , John Machlin Buchanan , Egon Peter Gustav Stahl , Franz Sondheimer , Marc Julia , Costin D. Neniţescu , Rowland Pettit , Friedrich Wilhelm Jost , Albert Kirrmann , Alexander Nikolaevich Nesmeyanov , Pehr Victor Edman , Jerker Porath , Harden M. McConnell , Gilbert Stork",Derek H. R. Barton,1918,1998,Imperial College London,"""for their contributions to the development of the concept of conformation and its application in chemistry""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
85,1969,"Christopher Kelk Ingold , Walter Heitler , Henry Eyring , Alexander Frumkin , Arvid Hedvall , Paul Flory , Burris Bell Cunningham , Rudolph Peters , Lyman Craig , Erich Müller (probably Erwin Wilhelm Müller) , Alexander Braunstein , Walter Hieber , John Clarke Slater , Martin Kamen , Karl Freudenberg , Friedrich Hund , Erich Hückel , Carl Wagner , Luis Federico Leloir , Gerhard Herzberg , Vladimir Prelog , Georg Wittig , Herman Francis Mark , Walter Hans Schottky , Derek Barton , Odd Hassel , Alfred Hershey , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Ernst Otto Fischer , Louis Plack Hammett , Carl Djerassi , Herbert Charles Brown , Fritz Arndt , John Monteath Robertson , Edgar Bright Wilson Jr. , Alberte Bucher Pullman , Bernard Pullman , Saul Winstein , Neil Bartlett , Alexander Oparin , Georg-Maria Schwab , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Otto Kratky , Alan Walsh , Charles Prévost , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Albert Eschenmoser , Kenneth Pitzer , Robert Schwyzer , Geoffrey Wilkinson , Robert Bruce Merrifield , Esmond Emerson Snell , Donald James Cram , George Andrew Olah , Henri Normant[674] , Klaus Biemann , Georgy Nikolayevich Flerov , Konstantin Antonovich Petrzhak (Pietrzak) , Kai Manne Börje Siegbahn , Horace Albert ""Nook"" Barker , Francis Pettit Bundy , Raymond Jean Calas[683] , Harry Julius Emeléus , Theodor Förster , Rolf Huisgen , Charles Lambert Marie Joseph Manneback , David Nachmansohn , Roberto Piontelli[690] , Eugene Rabinowitch , Petr Aleksandrovich Rebinder , Horst Tobias Witt , Melville Lawrence Wolfrom , Helmut Zahn , László Zechmeister , Jacques Bénard , Adolphe (Emile Philippe) Van Tiggelen , John Machlin Buchanan , Egon Peter Gustav Stahl , Franz Sondheimer , Marc Julia , Costin D. Neniţescu , Rowland Pettit , Friedrich Wilhelm Jost , Albert Kirrmann , Alexander Nikolaevich Nesmeyanov , Pehr Victor Edman , Jerker Porath , Harden M. McConnell , Gilbert Stork",Odd Hassel,1897,1981,University of Oslo,"""for their contributions to the development of the concept of conformation and its application in chemistry""",Norway,,,,
86,1970,"Paul Sabatier , Paul Walden , John Jacob Abel , Louis Camille Maillard , Christopher Kelk Ingold , Walter Heitler , Henry Eyring , Glenn Theodore Seaborg , Paul Flory , Burris Bell Cunningham , Axel Edvin Lindh , Izaak Maurits Kolthoff , John Clarke Slater , Martin Kamen , Karl Freudenberg , Erich Hückel , Carl Wagner , Luis Federico Leloir , Gerhard Herzberg , Vladimir Prelog , Georg Wittig , Gerold Schwarzenbach , Herman Francis Mark , Michael Polanyi , Britton Chance , Johannes Martin Bijvoet , Daniel Israel Arnon , Harry George Drickamer , Leslie Orgel , Ernst Otto Fischer , Sanʼichirō Mizushima , Louis Plack Hammett , Carl Djerassi , Saul Winstein , Alfred Valentin Champagnat , Neil Bartlett , Bernd Theodor Matthias , František Šorm , Efraim Katchalski-Katzir , John Warcup Cornforth Jr. , Charles Prévost , Rudolf Criegee , Alfred Rieche , George Joseph Popják , Rudolf Hoppe , Albert Eschenmoser , Stanford Moore , William Howard Stein , Robert Schwyzer , Geoffrey Wilkinson , Robert Bruce Merrifield , Frank Albert Cotton , Arie Jan Haagen-Smit , Henri Normant[674] , Klaus Biemann , Kai Manne Börje Siegbahn , Alexander Nikolaevich Nesmeyanov , Pehr Victor Edman , Jerker Porath , Harden M. McConnell , Gilbert Stork , Jerome Karle , John Charles Polanyi , Karl Sune Detlof Bergström , Walter Houser Brattain , J. D. Bernal , Gaston Charlot , Michel Marcel Delhaye , Boris Vladimirovich Derjagin , Nikolay Markovich Emanuel , George Scatchard[722] , Hermann Theodor Felix Wieland , David 'Davy' Adriaan van Dorp , David Mervyn Blow , David Chilton Phillips , Walter Hückel , Christian Klixbüll-Jørgensen[729] , John Wilson (""Jack"") Boag , Edwin James (""Ed"") Hart[734] , Robert LeRoy Platzman[735] , Bernhardt Patrick John O’Mara Bockris , Herbert Spencer Harned[738] , Joseph Chatt , Stig Melker Claesson , George Simms Hammond , Aleksandr Nikolaevich Terenin , Charles Gilbert Overberger , Jack Sylvester Hine , Wolfgang Kirmse , Tetsuo Nozoe",Luis F. Leloir,1906,1987,University of Buenos Aires,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",Argentina,,,,
87,1971,,Gerhard Herzberg,1904,1999,National Research Council Canada,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",Canada,,,,
88,1972,,Christian B. Anfinsen,1916,1995,National Institutes of Health,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
89,1972,,Stanford Moore,1913,1982,Rockefeller University,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
90,1972,,William H. Stein,1911,1980,Rockefeller University,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
91,1973,,Ernst Otto Fischer,1918,2007,Technical University of Munich,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
92,1973,,Geoffrey Wilkinson,1921,1996,Imperial College London,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
93,1974,,Paul J. Flory,1910,1985,Stanford University,"""for his fundamental work, both theoretical and experimental, in the physical chemistry of macromolecules""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
94,1975,,John Warcup Cornforth,1917,2013,University of Sussex,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",Australia,,,,
95,1975,,Vladimir Prelog,1906,1998,ETH Zurich,"""for his research into the stereochemistry of organic molecules and reactions""",BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,.ba,BA,BIH
96,1976,,William N. Lipscomb,1919,2011,Harvard University,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
97,1977,,Ilya Prigogine,1917,2003,"Université libre de Bruxelles,University of Texas at Austin","""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",Belgium,,,,
98,1978,,Peter D. Mitchell,1920,1992,Glynn Research Laboratories,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
99,1979,,Herbert C. Brown,1912,2004,Purdue University,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
100,1979,,Georg Wittig,1897,1987,Heidelberg University,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
101,1980,,Paul Berg,1926,2023,Stanford University,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
102,1980,,Walter Gilbert,1932,,Harvard University,"""for their contributions concerning the determination of base sequences in nucleic acids""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
103,1980,,Frederick Sanger,1918,2013,University of Cambridge,"""for their contributions concerning the determination of base sequences in nucleic acids""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
104,1981,,Kenichi Fukui,1918,1998,Kyoto University,"""for their theories, developed independently, concerning the course of chemical reactions""",Japan,,,,
105,1981,,Roald Hoffmann,1937,,Cornell University,"""for their theories, developed independently, concerning the course of chemical reactions""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
106,1982,,Aaron Klug,1926,2018,MRC Laboratory of Molecular Biology,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),The United Kingdom of Great Britain and Northern Ireland,.uk,GB,GBR
107,1983,,Henry Taube,1915,2005,Stanford University,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
108,1984,,Robert Bruce Merrifield,1921,2006,Rockefeller University,"""for his development of methodology for chemical synthesis on a solid matrix""",UNITED STATES MINOR OUTLYING ISLANDS (THE),"Baker¬†Island, Howland¬†Island, Jarvis¬†Island, Johnston¬†Atoll, Kingman¬†Reef, Midway¬†Atoll, Navassa¬†Island, Palmyra¬†Atoll, and Wake¬†Island",,UM,UMI
